model,f1,train_events,cum_train_samples,total_time_s,mean_ms_per_window,p99_ms_per_window,max_ms_per_window,model_kb,retained_windows,config,n_future
offline_periodic,0.7889,51,146880,30.014,1.1579,0.148,708.9757,4602.3,2880,C1,25920
online_adaptive,0.8052,25920,155520,133.574,5.1533,10.3654,27.8313,14.9,0,C1,25920
offline_periodic,0.8008,51,146880,31.325,1.2085,0.1953,682.3933,4710.9,2880,C2,25920
online_adaptive,0.8132,25920,155520,149.657,5.7738,12.5687,46.8653,15.2,0,C2,25920
offline_periodic,0.9095,51,146880,35.57,1.3723,0.2411,866.5888,1886.6,2880,C3,25920
online_adaptive,0.9732,25920,155520,145.715,5.6217,12.4354,72.7156,15.4,0,C3,25920
offline_periodic,0.9105,51,146880,32.337,1.2476,0.2189,746.4727,2216.9,2880,C4,25920
online_adaptive,0.977,25920,155520,143.702,5.5441,11.3765,28.2294,15.7,0,C4,25920
