model,f1,train_events,cum_train_samples,total_time_s,mean_ms_per_window,p99_ms_per_window,max_ms_per_window,model_kb,retained_windows,config,n_future
offline_periodic,0.8102,51,146880,33.711,1.3006,0.1724,796.856,4981.3,2880,C1,25920
online_adaptive,0.8136,25920,155520,143.226,5.5257,11.0679,27.7935,14.9,0,C1,25920
offline_periodic,0.822,51,146880,33.748,1.302,0.2314,762.2802,4925.8,2880,C2,25920
online_adaptive,0.8218,25920,155520,149.049,5.7504,13.0961,78.0254,15.2,0,C2,25920
offline_periodic,0.9167,51,146880,33.372,1.2875,0.2438,779.6931,1911.7,2880,C3,25920
online_adaptive,0.9712,25920,155520,145.985,5.6321,11.651,38.5755,15.4,0,C3,25920
offline_periodic,0.9187,51,146880,32.531,1.255,0.1889,771.8308,2232.8,2880,C4,25920
online_adaptive,0.974,25920,155520,145.632,5.6185,11.7114,43.427,15.7,0,C4,25920
