model,f1,train_events,cum_train_samples,total_time_s,mean_ms_per_window,p99_ms_per_window,max_ms_per_window,model_kb,retained_windows,config,n_future
offline_periodic,0.8041,51,146880,34.473,1.33,0.2787,878.1025,4991.9,2880,C1,25920
online_adaptive,0.8037,25920,155520,150.782,5.8172,12.8032,50.101,14.9,0,C1,25920
offline_periodic,0.8198,51,146880,34.396,1.327,0.1881,716.2336,5253.8,2880,C2,25920
online_adaptive,0.8216,25920,155520,143.386,5.5319,11.0747,23.3879,15.2,0,C2,25920
offline_periodic,0.9164,51,146880,33.667,1.2989,0.1861,807.5372,1876.4,2880,C3,25920
online_adaptive,0.9767,25920,155520,143.938,5.5531,11.7904,27.7199,15.4,0,C3,25920
offline_periodic,0.917,51,146880,32.893,1.269,0.1663,839.8196,2174.7,2880,C4,25920
online_adaptive,0.9789,25920,155520,146.009,5.6331,11.8332,44.2444,15.7,0,C4,25920
