config,name,model,segment,regime,precision,recall,f1,auc_roc,n
C1,Metrics-Only,offline_static,overall_future,-1,0.19172341540073337,0.9838709677419355,0.32091188075405525,0.7949726741695142,4860
C1,Metrics-Only,offline_periodic,overall_future,-1,0.469335604770017,0.7405913978494624,0.5745568300312826,0.8846938448958692,4860
C1,Metrics-Only,online_adaptive,overall_future,-1,0.8939393939393939,0.793010752688172,0.8404558404558404,0.9529860523318392,4860
C1,Metrics-Only,offline_full,overall_allregimes,-1,0.9124423963133641,0.6711864406779661,0.7734375,0.9408156972381823,1944
C1,Metrics-Only,offline_static,R1 latency regression,1,0.22166785459729152,0.9967948717948718,0.36268221574344023,0.7654608229436212,1620
C1,Metrics-Only,offline_periodic,R1 latency regression,1,0.42296511627906974,0.9326923076923077,0.582,0.8546003881439661,1620
C1,Metrics-Only,online_adaptive,R1 latency regression,1,0.9145907473309609,0.8237179487179487,0.866779089376054,0.9621118560338744,1620
C1,Metrics-Only,offline_static,R2 scale-out,2,0.2745803357314149,0.9541666666666667,0.4264432029795158,0.9127234299516909,1620
C1,Metrics-Only,offline_periodic,R2 scale-out,2,0.6830357142857143,0.6375,0.6594827586206896,0.9216772342995169,1620
C1,Metrics-Only,online_adaptive,R2 scale-out,2,0.8786407766990292,0.7541666666666667,0.8116591928251121,0.9340730676328501,1620
C1,Metrics-Only,offline_static,R3 combined load,3,0.12144212523719165,1.0,0.21658206429780033,0.7636062237394958,1620
C1,Metrics-Only,offline_periodic,R3 combined load,3,0.4083969465648855,0.5572916666666666,0.4713656387665198,0.9026391806722689,1620
C1,Metrics-Only,online_adaptive,R3 combined load,3,0.8786127167630058,0.7916666666666666,0.8328767123287671,0.9605107668067228,1620
