t_center,regime,regime_name,offline_static_f1,offline_periodic_f1,online_adaptive_f1,config
8765,1,R1 latency regression,0.5106382978723404,0.5106382978723404,0.7857142857142857,C1
9015,1,R1 latency regression,0.36923076923076925,0.36923076923076925,0.7865168539325843,C1
9265,1,R1 latency regression,0.28225806451612906,0.5116279069767442,0.7714285714285715,C1
9515,1,R1 latency regression,0.23045267489711935,0.42857142857142855,0.6938775510204082,C1
9765,1,R1 latency regression,0.34108527131782945,0.7865168539325843,0.8470588235294118,C1
10015,1,R1 latency regression,0.4229390681003584,0.8421052631578947,0.864406779661017,C1
10265,1,R1 latency regression,0.6377708978328174,0.8888888888888888,0.851063829787234,C1
10515,1,R1 latency regression,0.3516483516483517,0.7708333333333334,0.7021276595744681,C1
10765,1,R1 latency regression,0.23868312757201646,0.9,0.6909090909090909,C1
11015,1,R1 latency regression,0.0,0.0,0.0,C1
11265,1,R1 latency regression,0.19574468085106383,0.851063829787234,0.6,C1
11515,1,R1 latency regression,0.19834710743801653,0.9565217391304348,0.8260869565217391,C1
11765,1,R1 latency regression,0.2938775510204082,0.78125,0.7761194029850746,C1
12015,1,R1 latency regression,0.5448717948717948,0.925,0.84,C1
12265,1,R1 latency regression,0.3448275862068966,0.9111111111111111,0.8444444444444444,C1
12515,1,R1 latency regression,0.37209302325581395,0.9347826086956522,0.8222222222222222,C1
12765,1,R1 latency regression,0.09302325581395349,0.6923076923076923,0.5714285714285714,C1
13015,1,R1 latency regression,0.37065637065637064,0.8602150537634409,0.8,C1
13265,1,R1 latency regression,0.20689655172413793,0.9166666666666666,0.8260869565217391,C1
13515,1,R1 latency regression,0.2928870292887029,0.9117647058823529,0.8059701492537313,C1
13765,1,R1 latency regression,0.308300395256917,0.8860759493670886,0.7837837837837838,C1
14015,1,R1 latency regression,0.35019455252918286,0.9411764705882353,0.8604651162790697,C1
14265,1,R1 latency regression,0.056074766355140186,0.46153846153846156,0.36363636363636365,C1
14515,1,R1 latency regression,0.373134328358209,0.8817204301075269,0.8089887640449438,C1
14765,1,R1 latency regression,0.5980707395498392,0.9080459770114943,0.8022598870056498,C1
15015,1,R1 latency regression,0.49146757679180886,0.8840579710144928,0.7913669064748201,C1
