config,model,precision,recall,f1,auc_roc,n_future,nan_scores
C1,passive_aggressive,0.30865630076583894,0.3003613369467028,0.30445232917477394,0.6843262544194089,25920,0
C1,perceptron,0.3017163504968383,0.3017163504968383,0.3017163504968383,0.578924432460405,25920,0
C1,sgd_logistic,0.3080397470641373,0.3080397470641373,0.3080397470641373,0.5827375359180726,25920,0
C1,gaussian_nb,0.4835317963009881,0.8620144534778681,0.6195422820970622,0.918135228486102,25920,0
C2,passive_aggressive,0.30865630076583894,0.3003613369467028,0.30445232917477394,0.6843262649272996,25920,0
C2,perceptron,0.3019421860885276,0.3019421860885276,0.3019421860885276,0.5790606147267503,25920,0
C2,sgd_logistic,0.3080397470641373,0.3080397470641373,0.3080397470641373,0.5827375359180726,25920,0
C2,gaussian_nb,0.5042411588150855,0.8726287262872628,0.6391530890745183,0.927289918468854,25920,0
C3,passive_aggressive,0.3087996285117251,0.3003613369467028,0.3045220377790498,0.6866721042900609,25920,0
C3,perceptron,0.3026196928635953,0.3026196928635953,0.3026196928635953,0.5794691615257861,25920,0
C3,sgd_logistic,0.30600722673893405,0.30600722673893405,0.30600722673893405,0.5815118955209652,25920,0
C3,gaussian_nb,0.7068089430894309,0.9424119241192412,0.8077816492450639,0.978259783140669,25920,0
C4,passive_aggressive,0.3087996285117251,0.3003613369467028,0.3045220377790498,0.6866721042900609,25920,0
C4,perceptron,0.3026196928635953,0.3026196928635953,0.3026196928635953,0.5794691615257861,25920,0
C4,sgd_logistic,0.30600722673893405,0.30600722673893405,0.30600722673893405,0.5815118955209652,25920,0
C4,gaussian_nb,0.0,0.0,0.0,0.5,25920,25920
