config,model,scaled,precision,recall,f1,auc_roc,n_future,nan_scores
C1,passive_aggressive,False,0.30865630076583894,0.3003613369467028,0.30445232917477394,0.6843262544194089,25920,0
C1,passive_aggressive_scaled,True,0.7882981306142267,0.7332881662149955,0.7597987597987598,0.9383076154804603,25920,0
C1,perceptron,False,0.3017163504968383,0.3017163504968383,0.3017163504968383,0.578924432460405,25920,0
C1,perceptron_scaled,True,0.782942238267148,0.7836495031616982,0.7832957110609481,0.9373348527323291,25920,0
C1,sgd_logistic,False,0.3080397470641373,0.3080397470641373,0.3080397470641373,0.5827375359180726,25920,0
C1,sgd_logistic_scaled,True,0.8848702374378796,0.723803071364047,0.7962732919254658,0.9475899815918563,25920,0
C1,gaussian_nb,False,0.4835317963009881,0.8620144534778681,0.6195422820970622,0.918135228486102,25920,0
C1,gaussian_nb_scaled,True,0.741756206002223,0.45212285456187895,0.5618072120106636,0.8105133413647245,25920,8749
C2,passive_aggressive,False,0.30865630076583894,0.3003613369467028,0.30445232917477394,0.6843262649272996,25920,0
C2,passive_aggressive_scaled,True,0.8131131849724814,0.7673893405600722,0.7895898687115139,0.947370597845193,25920,0
C2,perceptron,False,0.3019421860885276,0.3019421860885276,0.3019421860885276,0.5790606147267503,25920,0
C2,perceptron_scaled,True,0.7976566020730058,0.7994579945799458,0.7985562824272502,0.9455957572751172,25920,0
C2,sgd_logistic,False,0.3080397470641373,0.3080397470641373,0.3080397470641373,0.5827375359180726,25920,0
C2,sgd_logistic_scaled,True,0.8895116092874299,0.752710027100271,0.8154128440366972,0.9547833579722359,25920,0
C2,gaussian_nb,False,0.5042411588150855,0.8726287262872628,0.6391530890745183,0.927289918468854,25920,0
C2,gaussian_nb_scaled,True,0.7628443782576322,0.4627371273712737,0.5760472308124824,0.8191562865516985,25920,8749
C3,passive_aggressive,False,0.3087996285117251,0.3003613369467028,0.3045220377790498,0.6866721042900609,25920,0
C3,passive_aggressive_scaled,True,0.9793103448275862,0.962059620596206,0.9706083390293917,0.9976891991995173,25920,0
C3,perceptron,False,0.3026196928635953,0.3026196928635953,0.3026196928635953,0.5794691615257861,25920,0
C3,perceptron_scaled,True,0.9553911678995741,0.9625112917795845,0.9589380132748341,0.9943977442248212,25920,0
C3,sgd_logistic,False,0.30600722673893405,0.30600722673893405,0.30600722673893405,0.5815118955209652,25920,0
C3,sgd_logistic_scaled,True,0.9835988753514526,0.9480578139114725,0.9655013799448022,0.9974550938976726,25920,0
C3,gaussian_nb,False,0.7068089430894309,0.9424119241192412,0.8077816492450639,0.978259783140669,25920,0
C3,gaussian_nb_scaled,True,0.92527640106748,0.5481029810298103,0.6884129910650971,0.883024261585286,25920,8749
C4,passive_aggressive,False,0.3087996285117251,0.3003613369467028,0.3045220377790498,0.6866721042900609,25920,0
C4,passive_aggressive_scaled,True,0.9777573950928686,0.9629629629629629,0.9703037888269428,0.997897528644931,25920,0
C4,perceptron,False,0.3026196928635953,0.3026196928635953,0.3026196928635953,0.5794691615257861,25920,0
C4,perceptron_scaled,True,0.9567458538771851,0.9640921409214093,0.9604049493813274,0.9954319781348443,25920,0
C4,sgd_logistic,False,0.30600722673893405,0.30600722673893405,0.30600722673893405,0.5815118955209652,25920,0
C4,sgd_logistic_scaled,True,0.9838634237605238,0.9500903342366757,0.9666819852941176,0.9977871957902531,25920,0
C4,gaussian_nb,False,0.0,0.0,0.0,0.5,25920,25920
C4,gaussian_nb_scaled,True,0.9248618784530387,0.3780487804878049,0.5367104841295287,0.826430752326321,25920,8749
