model,f1,train_events,cum_train_samples,total_time_s,mean_ms_per_window,p99_ms_per_window,max_ms_per_window,model_kb,retained_windows,config,n_future
offline_periodic,0.8204,51,146880,31.465,1.2139,0.2197,725.2689,5833.3,2880,C1,25920
online_adaptive,0.813,25920,155520,142.932,5.5144,12.0946,59.4705,14.9,0,C1,25920
offline_periodic,0.8323,51,146880,32.167,1.241,0.1622,710.7885,5777.5,2880,C2,25920
online_adaptive,0.8274,25920,155520,132.013,5.0931,8.6265,14.8309,15.2,0,C2,25920
offline_periodic,0.9247,51,146880,30.592,1.1803,0.1934,666.89,1990.5,2880,C3,25920
online_adaptive,0.9737,25920,155520,131.292,5.0653,8.7611,20.489,15.4,0,C3,25920
offline_periodic,0.9255,51,146880,29.401,1.1343,0.1424,581.635,2287.7,2880,C4,25920
online_adaptive,0.9755,25920,155520,129.662,5.0024,8.4811,15.5374,15.7,0,C4,25920
