config,name,n_features,precision,recall,f1,auc_roc
C1,Metrics-Only,10,1.0,0.7592592592592593,0.8631578947368421,0.9842935528120714
C2,Metrics + Logs,14,1.0,0.7222222222222222,0.8387096774193549,0.9786694101508915
C3,Metrics + Logs + Traces,18,0.9818181818181818,1.0,0.9908256880733946,0.9999314128943758
C4,Full MELT,23,1.0,0.9814814814814815,0.9906542056074766,0.9999314128943758
