model,precision,recall,f1,auc_roc
rf,0.9857433808553971,0.9817444219066938,0.983739837398374,0.9970508539578025
gb,1.0,0.9797160243407708,0.9897540983606558,0.9992374293155636
xgb,0.9897330595482546,0.9776876267748479,0.9836734693877551,0.9991148516405586
lstm,0.166044776119403,0.36105476673427994,0.22747603833865815,
multimodal_fusion,0.9974874371859297,0.8052738336713996,0.8911335578002245,0.9930899364133369
