config,arm,precision,recall,f1,auc_roc,adapt_events,n_future
C1,full,0.8732175265750584,0.7606142728093948,0.8130356065178033,0.9502647757338668,7,25920
C1,no_drift,0.8749675745784695,0.761743450767841,0.8144392128455874,0.9498945827366952,0,25920
C1,no_drift_no_champion,0.8864879649890591,0.73193315266486,0.801830776843147,0.9482815584328683,0,25920
C2,full,0.8782652802434694,0.7820686540198736,0.827380241309282,0.9553138908769818,3,25920
C2,no_drift,0.8793803961401727,0.7820686540198736,0.8278747310542672,0.9550617540343155,0,25920
C2,no_drift_no_champion,0.8967261112589833,0.760840108401084,0.8232131948686622,0.9560137374281491,0,25920
C3,full,0.9854301572617946,0.9622854561878952,0.9737202925045704,0.9975240676936828,0,25920
C3,no_drift,0.9854301572617946,0.9622854561878952,0.9737202925045704,0.9975240676936828,0,25920
C3,no_drift_no_champion,0.9893072989307299,0.9611562782294489,0.975028636884307,0.9984115746688208,0,25920
C4,full,0.9872802960222017,0.9640921409214093,0.9755484460694699,0.9978676231873679,0,25920
C4,no_drift,0.9872802960222017,0.9640921409214093,0.9755484460694699,0.9978676231873679,0,25920
C4,no_drift_no_champion,0.9909154437456325,0.9607046070460704,0.9755761953904368,0.9985382893254455,0,25920
