model,precision,recall,f1,auc_roc
rf,0.9887429643527205,0.9822926374650512,0.9855072463768116,0.9984102965487252
gb,0.9952696310312205,0.9804287045666356,0.9877934272300469,0.9987327014392824
xgb,0.9887111947318908,0.9794967381174278,0.9840823970037453,0.9993632912773491
lstm,0.16537030774433548,0.45573159366262816,0.24267990074441687,
multimodal_fusion,0.9988425925925926,0.804287045666356,0.8910686628807434,0.9924906635301207
