model,f1,train_events,cum_train_samples,total_time_s,mean_ms_per_window,p99_ms_per_window,max_ms_per_window,model_kb,retained_windows,config,n_future
offline_periodic,0.8204,51,146880,49.405,1.9061,0.7488,1196.2188,5833.3,2880,C1,25920
online_adaptive,0.813,25920,155520,244.317,9.4258,24.6511,145.6289,15.0,0,C1,25920
offline_periodic,0.8323,51,146880,46.364,1.7887,0.3868,937.2257,5777.5,2880,C2,25920
online_adaptive,0.8274,25920,155520,233.638,9.0138,18.0718,55.3485,15.2,0,C2,25920
offline_periodic,0.9247,51,146880,44.451,1.7149,0.3362,949.8638,1990.5,2880,C3,25920
online_adaptive,0.9737,25920,155520,232.742,8.9793,17.5688,52.8369,15.4,0,C3,25920
offline_periodic,0.9255,51,146880,44.447,1.7148,0.3599,923.6091,2287.7,2880,C4,25920
online_adaptive,0.9755,25920,155520,235.144,9.0719,17.6194,45.8403,15.8,0,C4,25920
