precision,recall,f1,auc_roc,seed,config,policy
0.22065106815869787,0.9796747967479674,0.36017934241115906,0.7670003594539327,42,C1,offline_static
0.8057491289198606,0.8355916892502259,0.8203991130820399,0.95216613131064,42,C1,offline_periodic
0.8732175265750584,0.7606142728093948,0.8130356065178033,0.9502647757338668,42,C1,online_adaptive
0.220986902223576,0.9830623306233063,0.36085550857995524,0.7537565342268907,42,C2,offline_static
0.8131868131868132,0.8523035230352304,0.8322858087992061,0.9600427938060944,42,C2,offline_periodic
0.8782652802434694,0.7820686540198736,0.827380241309282,0.9553138908769818,42,C2,online_adaptive
0.22707445989634115,0.9993224932249323,0.3700606314028852,0.8582035304075666,42,C3,offline_static
0.8786091907279382,0.9758355916892503,0.9246736571795421,0.9908389107116767,42,C3,offline_periodic
0.9854301572617946,0.9622854561878952,0.9737202925045704,0.9975240676936828,42,C3,online_adaptive
0.2273824813768302,0.9995483288166215,0.37048507931193236,0.8579924531486769,42,C4,offline_static
0.879885993485342,0.9760614272809395,0.9254817987152034,0.9910164993221989,42,C4,offline_periodic
0.9872802960222017,0.9640921409214093,0.9755484460694699,0.9978676231873679,42,C4,online_adaptive
0.2039542689322425,0.9761546184738956,0.33741107062293946,0.7411540994393329,43,C1,offline_static
0.7776152158010241,0.8004518072289156,0.7888682745825603,0.9461814251901846,43,C1,offline_periodic
0.8732394366197183,0.7469879518072289,0.8051948051948052,0.9482090355404109,43,C1,online_adaptive
0.2035430602006689,0.9776606425702812,0.3369377162629758,0.7437494210064182,43,C2,offline_static
0.786682808716707,0.8155120481927711,0.8008380576780872,0.9549093128989335,43,C2,offline_periodic
0.8746027159780411,0.759789156626506,0.81316319677636,0.9556125555284596,43,C2,online_adaptive
0.20832897352725752,0.9994979919678715,0.344791756862066,0.8559272076453149,43,C3,offline_static
0.8608247422680413,0.9641064257028112,0.9095429789249349,0.9898161551201157,43,C3,offline_periodic
0.9860860602937387,0.9605923694779116,0.9731722822631913,0.9981467285077582,43,C3,online_adaptive
0.20890824196002308,0.9994979919678715,0.3455847255369928,0.8771904151068168,43,C4,offline_static
0.8627274769714671,0.963855421686747,0.9104919976289271,0.9901774425382053,43,C4,offline_periodic
0.9904565385607429,0.963855421686747,0.9769749395751177,0.9986297304462195,43,C4,online_adaptive
0.20687172101635634,0.9686897880539499,0.3409341357972366,0.7698197047211477,44,C1,offline_static
0.7981020166073547,0.8102119460500964,0.8041113899844627,0.9487523978561094,44,C1,offline_periodic
0.8785714285714286,0.740606936416185,0.8037114479874543,0.9496167413374459,44,C1,online_adaptive
0.20678000819336337,0.9725433526011561,0.3410472972972973,0.7560958399365103,44,C2,offline_static
0.8068579426172149,0.833092485549133,0.8197653750444366,0.9598160497387408,44,C2,offline_periodic
0.883134865688175,0.7680635838150289,0.8215895916527116,0.9583899272517541,44,C2,online_adaptive
0.2088808337109198,0.9992774566473989,0.34553404122423487,0.8477672719992012,44,C3,offline_static
0.8668384879725086,0.9720616570327553,0.9164396003633061,0.990010376768784,44,C3,offline_periodic
0.9879280610987928,0.9657996146435452,0.9767385214955547,0.9979265603679085,44,C3,online_adaptive
0.2098209770405583,0.9992774566473989,0.34681935969238487,0.8661329555891202,44,C4,offline_static
0.8682737839001291,0.9715799614643545,0.9170265969538531,0.9905680066601804,44,C4,offline_periodic
0.9894218942189422,0.9686897880539499,0.9789460873798224,0.9981336067013218,44,C4,online_adaptive
0.23308390383696864,0.9708222811671088,0.3759147515727308,0.7624622058892322,45,C1,offline_static
0.8037850772242767,0.8167550839964633,0.8102181778313782,0.9481216142022465,45,C1,offline_periodic
0.8768837803320562,0.7588417329796641,0.8136035075245882,0.9463669717552171,45,C1,online_adaptive
0.2346078379381662,0.97789566755084,0.37842692784739745,0.7597685218933309,45,C2,offline_static
0.8131487889273357,0.8311229000884174,0.8220376038478356,0.9587902760442262,45,C2,offline_periodic
0.8796973518284994,0.770999115826702,0.821769348568736,0.9543731287354006,45,C2,online_adaptive
0.23025244299674266,1.0,0.37431739202382924,0.8347027616076053,45,C3,offline_static
0.8756288991748843,0.9617595048629531,0.9166754450647846,0.9893001435273275,45,C3,offline_periodic
0.9832389580973953,0.9595490716180372,0.9712495804899877,0.9974541276214649,45,C3,online_adaptive
0.2320356977996615,1.0,0.3766704133882853,0.8657938595990987,45,C4,offline_static
0.8784029038112523,0.9628647214854111,0.9186966149952547,0.9898481286899441,45,C4,offline_periodic
0.9866213151927438,0.9617595048629531,0.9740317886724871,0.997695047902225,45,C4,online_adaptive
0.23784759074506473,0.9676165803108808,0.3818367694666894,0.7715318049154323,46,C1,offline_static
0.8193506210503377,0.8117443868739206,0.8155297690055309,0.9514149674194321,46,C1,offline_periodic
