seed,config,n_future,prevalence,always_alarm_f1,static_frozen_f1,static_frozen_precision,static_auc,static_recalibrated_f1,recalibrated_threshold
42,C1,25920,0.17083333333333334,0.2918149466192171,0.36017934241115906,0.22065106815869787,0.7670003594539327,0.445859872611465,0.9666666666666667
42,C2,25920,0.17083333333333334,0.2918149466192171,0.36085550857995524,0.220986902223576,0.7537565342268907,0.43702438266811616,0.9166666666666666
42,C3,25920,0.17083333333333334,0.2918149466192171,0.3700606314028852,0.22707445989634115,0.8582035304075666,0.5522414093842666,0.9533333333333334
42,C4,25920,0.17083333333333334,0.2918149466192171,0.37048507931193236,0.2273824813768302,0.8579924531486769,0.5527403134014189,0.9266666666666666
43,C1,25920,0.1537037037037037,0.2664526484751204,0.33741107062293946,0.2039542689322425,0.7411540994393329,0.394067237969677,0.9
43,C2,25920,0.1537037037037037,0.2664526484751204,0.3369377162629758,0.2035430602006689,0.7437494210064182,0.392690791830885,0.8866666666666667
43,C3,25920,0.1537037037037037,0.2664526484751204,0.344791756862066,0.20832897352725752,0.8559272076453149,0.5252453797860112,0.94
43,C4,25920,0.1537037037037037,0.2664526484751204,0.3455847255369928,0.20890824196002308,0.8771904151068168,0.553776160145587,0.9333333333333333
44,C1,25920,0.16018518518518518,0.2761372705506784,0.3409341357972366,0.20687172101635634,0.7698197047211477,0.4420624364290744,0.95
44,C2,25920,0.16018518518518518,0.2761372705506784,0.3410472972972973,0.20678000819336337,0.7560958399365103,0.42126015298478037,0.8933333333333333
44,C3,25920,0.16018518518518518,0.2761372705506784,0.34553404122423487,0.2088808337109198,0.8477672719992012,0.5198905822586948,0.92
44,C4,25920,0.16018518518518518,0.2761372705506784,0.34681935969238487,0.2098209770405583,0.8661329555891202,0.5515824085491163,0.9166666666666666
45,C1,25920,0.17453703703703705,0.2972014189988175,0.3759147515727308,0.23308390383696864,0.7624622058892322,0.4442923624418286,0.9266666666666666
45,C2,25920,0.17453703703703705,0.2972014189988175,0.37842692784739745,0.2346078379381662,0.7597685218933309,0.4401844532279315,0.8766666666666667
45,C3,25920,0.17453703703703705,0.2972014189988175,0.37431739202382924,0.23025244299674266,0.8347027616076053,0.5179000990519315,0.9166666666666666
45,C4,25920,0.17453703703703705,0.2972014189988175,0.3766704133882853,0.2320356977996615,0.8657938595990987,0.5584305244458175,0.9133333333333333
46,C1,25920,0.1787037037037037,0.3032207384131972,0.3818367694666894,0.23784759074506473,0.7715318049154323,0.4539736219141021,0.94
46,C2,25920,0.1787037037037037,0.3032207384131972,0.38197006318110505,0.2376655585457232,0.7564070735805816,0.4347996857816182,0.89
46,C3,25920,0.1787037037037037,0.3032207384131972,0.3813915191436805,0.23562926035201953,0.8477075019438977,0.541315962819293,0.9233333333333333
46,C4,25920,0.1787037037037037,0.3032207384131972,0.3826992192341058,0.23662835249042147,0.8717763478041746,0.5734008283479061,0.9233333333333333
